movie,scene_number,scene_name,type,character,text
Life of Brian,16,Crucifixion: Could Be Worse...,dialogue,CENTURION,"What do you mean, 'could be worse'?"
Life of Brian,16,Crucifixion: Could Be Worse...,dialogue,MATTHIAS,"Well, you could be stabbed."
Life of Brian,16,Crucifixion: Could Be Worse...,dialogue,CENTURION,"Stabbed? Takes a second. Crucifixion lasts hours!
        It's a slow, horrible death!"
Life of Brian,16,Crucifixion: Could Be Worse...,dialogue,MATTHIAS,"Well, at least it gets you out in the open air."
Life of Brian,16,Crucifixion: Could Be Worse...,dialogue,CENTURION,You're weird.
Life of Brian,16,Crucifixion: Could Be Worse...,direction,NULL,clomp clomp clomp...
Life of Brian,16,Crucifixion: Could Be Worse...,dialogue,SERGEANT,"No, sir. Couldn't find anything, sir."
Life of Brian,16,Crucifixion: Could Be Worse...,dialogue,CENTURION,"But don't worry! You've not seen the last of us,
        weirdo."
Life of Brian,16,Crucifixion: Could Be Worse...,dialogue,MATTHIAS,Big Nose.
Life of Brian,16,Crucifixion: Could Be Worse...,dialogue,CENTURION,Watch it.
Life of Brian,16,Crucifixion: Could Be Worse...,dialogue,MATTHIAS,"Phew, that was lucky."
Life of Brian,16,Crucifixion: Could Be Worse...,dialogue,BRIAN,"I'm sorry, Reg."
Life of Brian,16,Crucifixion: Could Be Worse...,dialogue,REG,"Ohhh, it's all right, siblings. He's sorry. He's sorry he
        led the Fifth Legion straight to our official headquarters. Well, that's
        all right, then, Brian. Sit down. Have a scone. Make yourself at home.
        You klutz! You stupid, bird-brained, flat-headed--"
Life of Brian,16,Crucifixion: Could Be Worse...,direction,NULL,bam bam bam bam bam bam bam bam bam bam bam bam bam bam bam
Life of Brian,16,Crucifixion: Could Be Worse...,direction,NULL,creak crack
Life of Brian,16,Crucifixion: Could Be Worse...,dialogue,BORING PROPHET,"...this great, big, juicy melon behind."
Life of Brian,16,Crucifixion: Could Be Worse...,direction,NULL,bam bam bam bam bam bam
Life of Brian,16,Crucifixion: Could Be Worse...,dialogue,MATTHIAS,My legs are old and bent. My ears are grizzled. Yes?
Life of Brian,16,Crucifixion: Could Be Worse...,dialogue,CENTURION,There's one place we didn't look. Guards!
Life of Brian,16,Crucifixion: Could Be Worse...,dialogue,MATTHIAS,I'm just a poor old man.
Life of Brian,16,Crucifixion: Could Be Worse...,direction,NULL,clomp clomp clomp...
Life of Brian,16,Crucifixion: Could Be Worse...,dialogue,CENTURION,Have you ever seen anyone crucified?
Life of Brian,16,Crucifixion: Could Be Worse...,dialogue,MATTHIAS,Crucifixion's a doddle.
Life of Brian,16,Crucifixion: Could Be Worse...,dialogue,CENTURION,Don't keep saying that.
Life of Brian,16,Crucifixion: Could Be Worse...,direction,NULL,clomp clomp clomp...
Life of Brian,16,Crucifixion: Could Be Worse...,dialogue,SERGEANT,"Found this spoon, sir."
Life of Brian,16,Crucifixion: Could Be Worse...,dialogue,CENTURION,"Well done, Sergeant! We'll be back,... oddball."
Life of Brian,16,Crucifixion: Could Be Worse...,direction,NULL,bam bam bam bam bam
Life of Brian,16,Crucifixion: Could Be Worse...,dialogue,MATTHIAS,You haven't given us time to hide.
Life of Brian,17,The Futility of the Lily in Parable,direction,NULL,crack crack
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,Aaaaah!
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BORING PROPHET,...The nephew or the donkey.
Life of Brian,17,The Futility of the Lily in Parable,direction,NULL,whap
Life of Brian,17,The Futility of the Lily in Parable,direction,NULL,fwump
Life of Brian,17,The Futility of the Lily in Parable,direction,NULL,clap clap clap
Life of Brian,17,The Futility of the Lily in Parable,dialogue,FALSE PROPHET,"...And, a nine-bladed sword, which he shall
        strike..."
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BLOOD & THUNDER PROPHET,"...Time when we all come together,
        and go..."
Life of Brian,17,The Futility of the Lily in Parable,dialogue,PROPHET IN WHITE,...And holes for the...
Life of Brian,17,The Futility of the Lily in Parable,dialogue,PROPHET IN BLACK,...Jumbo jets...
Life of Brian,17,The Futility of the Lily in Parable,dialogue,PROPHET IN WHITE,...every bitch how you got germs from...
Life of Brian,17,The Futility of the Lily in Parable,dialogue,PROPHET IN BLACK,...fly up near the...
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,"Don't you, eh, pass judgment on other people, or you
        might get judged yourself."
Life of Brian,17,The Futility of the Lily in Parable,dialogue,COLIN,What?
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,"I said, 'Don't pass judgment on other people, or else
        you might get judged, too.'"
Life of Brian,17,The Futility of the Lily in Parable,dialogue,COLIN,"Who, me?"
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,Yes.
Life of Brian,17,The Futility of the Lily in Parable,dialogue,COLIN,Oh. Ooh. Thank you very much.
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,"Well, not just you. All of you."
Life of Brian,17,The Futility of the Lily in Parable,dialogue,DENNIS,That's a nice gourd.
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,What?
Life of Brian,17,The Futility of the Lily in Parable,dialogue,DENNIS,How much do you want for the gourd?
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,I don't. You can have it.
Life of Brian,17,The Futility of the Lily in Parable,dialogue,DENNIS,Have it?
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,Yes. Consider the lilies...
Life of Brian,17,The Futility of the Lily in Parable,dialogue,DENNIS,"Eh, d-- d-- don't you want to haggle?"
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,No. ...in the field.
Life of Brian,17,The Futility of the Lily in Parable,dialogue,DENNIS,"What's wrong with it, then?"
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,Nothing. Take it.
Life of Brian,17,The Futility of the Lily in Parable,dialogue,ELSIE,Consider the lilies?
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,"Uh, well, the birds, then."
Life of Brian,17,The Futility of the Lily in Parable,dialogue,EDDIE,What birds?
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,Any birds.
Life of Brian,17,The Futility of the Lily in Parable,dialogue,EDDIE,Why?
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,"Well, have they got jobs?"
Life of Brian,17,The Futility of the Lily in Parable,dialogue,ARTHUR,Who?
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,The birds.
Life of Brian,17,The Futility of the Lily in Parable,dialogue,EDDIE,Have the birds got jobs?!
Life of Brian,17,The Futility of the Lily in Parable,dialogue,FRANK,What's the matter with him?
Life of Brian,17,The Futility of the Lily in Parable,dialogue,ARTHUR,He says the birds are scrounging.
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,"Oh, uhh, no, the point is the birds. They do all right.
        Don't they?"
Life of Brian,17,The Futility of the Lily in Parable,dialogue,FRANK,"Well, good luck to 'em."
Life of Brian,17,The Futility of the Lily in Parable,dialogue,EDDIE,Yeah. They're very pretty.
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,"Okay, and you're much more important than they are,
        right? So, what are you worrying about? There you are. See?"
Life of Brian,17,The Futility of the Lily in Parable,dialogue,EDDIE,I'm worrying about what you have got against birds.
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,"I haven't got anything against the birds. Consider the
        lilies."
Life of Brian,17,The Futility of the Lily in Parable,dialogue,ARTHUR,He's having a go at the flowers now.
Life of Brian,17,The Futility of the Lily in Parable,dialogue,EDDIE,"Oh, give the flowers a chance."
Life of Brian,17,The Futility of the Lily in Parable,dialogue,DENNIS,I'll give you one for it.
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,It's yours.
Life of Brian,17,The Futility of the Lily in Parable,dialogue,DENNIS,"Two, then."
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,"Ohh. Look. There was this man, and he had two servants."
Life of Brian,17,The Futility of the Lily in Parable,dialogue,ARTHUR,What were they called?
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,What?
Life of Brian,17,The Futility of the Lily in Parable,dialogue,ARTHUR,What were their names?
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,I don't know. And he gave them some talents.
Life of Brian,17,The Futility of the Lily in Parable,dialogue,EDDIE,You don't know?!
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,"Well, it doesn't matter!"
Life of Brian,17,The Futility of the Lily in Parable,dialogue,ARTHUR,He doesn't know what they were called!
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,"Oh, they were called 'Simon' and 'Adrian'. Now--"
Life of Brian,17,The Futility of the Lily in Parable,dialogue,ARTHUR,Oh! You said...
Life of Brian,17,The Futility of the Lily in Parable,dialogue,EDDIE,Ohh.
Life of Brian,17,The Futility of the Lily in Parable,dialogue,ARTHUR,...you didn't know!
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,"It really doesn't matter. The point is there were these
        two servants--"
Life of Brian,17,The Futility of the Lily in Parable,dialogue,ARTHUR,He's making it up as he goes along.
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,"No, I'm not! ...And he gave them some ta-- Wait a
        minute. Were there three?"
Life of Brian,17,The Futility of the Lily in Parable,dialogue,ARTHUR,Ohh.
Life of Brian,17,The Futility of the Lily in Parable,dialogue,EDDIE,"Oh, he's terrible!"
Life of Brian,17,The Futility of the Lily in Parable,dialogue,ARTHUR,He's terrible.
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,There were three.
Life of Brian,17,The Futility of the Lily in Parable,dialogue,ARTHUR,Thpppt!
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,"They were-- they were st-- stewards, really."
Life of Brian,17,The Futility of the Lily in Parable,dialogue,ELSIE,"Aww, get off!"
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,"Ooh! Eh, uh, b-- b-- now-- now hear this! Blessed are
        they..."
Life of Brian,17,The Futility of the Lily in Parable,dialogue,DENNIS,Three.
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,"...who convert their neighbor's ox, for they shall
        inhibit their girth,..."
Life of Brian,17,The Futility of the Lily in Parable,dialogue,MAN,Rubbish!
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,"...and to them only shall be given-- to them only...
        shall... be... given..."
Life of Brian,17,The Futility of the Lily in Parable,dialogue,ELSIE,What?
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,Hmm?
Life of Brian,17,The Futility of the Lily in Parable,dialogue,ELSIE,Shall be given what?
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,"Oh, nothing."
Life of Brian,17,The Futility of the Lily in Parable,dialogue,EDDIE,Ahh.
Life of Brian,17,The Futility of the Lily in Parable,dialogue,ELSIE,Hey! What were you going to say?
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,Nothing.
Life of Brian,17,The Futility of the Lily in Parable,dialogue,ARTHUR and FRANK,"Yes, you were."
Life of Brian,17,The Futility of the Lily in Parable,dialogue,ELSIE,Yes. You were going to say something.
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,"No, I wasn't. I'd finished."
Life of Brian,17,The Futility of the Lily in Parable,dialogue,ELSIE,"Oh, no you weren't."
Life of Brian,17,The Futility of the Lily in Parable,dialogue,ARTHUR,"Oh, come on. Tell us before you go."
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,I wasn't going to say anything. I'd finished.
Life of Brian,17,The Futility of the Lily in Parable,dialogue,ELSIE,"No, you hadn't."
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BLIND MAN,What won't he tell?
Life of Brian,17,The Futility of the Lily in Parable,dialogue,EDDIE,He won't say.
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BLIND MAN,Is it a secret?
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,No.
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BLIND MAN,Is it?
Life of Brian,17,The Futility of the Lily in Parable,dialogue,EDDIE,"Must be. Otherwise, he'd tell us."
Life of Brian,17,The Futility of the Lily in Parable,dialogue,ARTHUR,"Oh, tell us the secret."
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,Leave me alone.
Life of Brian,17,The Futility of the Lily in Parable,dialogue,YOUTH,What is this secret?
Life of Brian,17,The Futility of the Lily in Parable,dialogue,GIRL,Is it the secret of eternal life?
Life of Brian,17,The Futility of the Lily in Parable,dialogue,EDDIE,He won't say!
Life of Brian,17,The Futility of the Lily in Parable,dialogue,ARTHUR,"Well, of course not. If I knew the secret of eternal
        life, I wouldn't say."
Life of Brian,17,The Futility of the Lily in Parable,dialogue,YOUTH,No.
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,Leave me alone.
Life of Brian,17,The Futility of the Lily in Parable,dialogue,GIRL,"Just tell me, please."
Life of Brian,17,The Futility of the Lily in Parable,dialogue,ARTHUR,"No. Tell us, Master. We were here first."
Life of Brian,17,The Futility of the Lily in Parable,dialogue,DENNIS,Five.
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,Ah!
Life of Brian,17,The Futility of the Lily in Parable,dialogue,GIRL,Just tell--
Life of Brian,17,The Futility of the Lily in Parable,dialogue,BRIAN,Go away!
Life of Brian,17,The Futility of the Lily in Parable,dialogue,GIRL,"Tell us, Master."
Life of Brian,17,The Futility of the Lily in Parable,dialogue,DENNIS,I can't go above five.
Life of Brian,17,The Futility of the Lily in Parable,dialogue,GIRL,Tell-- Is that His gourd?
Life of Brian,17,The Futility of the Lily in Parable,dialogue,YOUTH,We've got this here.
Life of Brian,17,The Futility of the Lily in Parable,dialogue,DENNIS,"Yeah, but it's under offer."
Life of Brian,17,The Futility of the Lily in Parable,dialogue,GIRL,This is His gourd!
Life of Brian,17,The Futility of the Lily in Parable,dialogue,DENNIS,Ten!
Life of Brian,17,The Futility of the Lily in Parable,dialogue,GIRL,"It is His gourd! We will carry it for you, Master!
        Master?"
Life of Brian,17,The Futility of the Lily in Parable,dialogue,YOUTH,He's gone! He's been taken up!
Life of Brian,17,The Futility of the Lily in Parable,dialogue,GIRL,Hhhh!
Life of Brian,17,The Futility of the Lily in Parable,dialogue,FOLLOWERS,For He's been taken up!
Life of Brian,17,The Futility of the Lily in Parable,dialogue,DENNIS,Eighteen!
Life of Brian,17,The Futility of the Lily in Parable,dialogue,ARTHUR,"No, there He is. Over there."
Life of Brian,17,The Futility of the Lily in Parable,dialogue,FOLLOWERS,"Oh, yeah. Master! Master!..."
Life of Brian,17,The Futility of the Lily in Parable,direction,NULL,FOLLOWERS chase BRIAN
Life of Brian,18,The Holy Gourd of Jerusalem,direction,NULL,holy music
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,FOLLOWERS,...Look! Ah! Oh! Oh!
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,ARTHUR,He has given us a sign!
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,FOLLOWER,Oh!
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,SHOE FOLLOWER,He has given us... His shoe!
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,ARTHUR,The shoe is the sign. Let us follow His example.
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,SPIKE,What?
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,ARTHUR,"Let us, like Him, hold up one shoe and let the other
        be upon our foot, for this is His sign, that all who follow Him shall do
        likewise."
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,EDDIE,Yes.
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,SHOE FOLLOWER,"No, no, no. The shoe is..."
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,YOUTH,No.
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,SHOE FOLLOWER,"...a sign that we must gather shoes together in
        abundance."
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,GIRL,Cast off...
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,SPIKE,Aye. What?
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,GIRL,...the shoes! Follow the Gourd!
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,SHOE FOLLOWER,No! Let us gather shoes together!
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,FRANK,Yes.
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,SHOE FOLLOWER,Let me!
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,ELSIE,"Oh, get off!"
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,YOUTH,"No, no! It is a sign that, like Him, we must think not
        of the things of the body, but of the face and head!"
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,SHOE FOLLOWER,Give me your shoe!
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,YOUTH,Get off!
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,GIRL,Follow the Gourd! The Holy Gourd of Jerusalem!
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,FOLLOWER,The Gourd!
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,HARRY,"Hold up the sandal, as He has commanded us!"
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,ARTHUR,It is a shoe! It is a shoe!
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,HARRY,It's a sandal!
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,ARTHUR,"No, it isn't!"
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,GIRL,Cast it away!
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,ARTHUR,Put it on!
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,YOUTH,And clear off!
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,SHOE FOLLOWER,Take the shoes and follow Him!
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,GIRL,"Come,..."
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,FRANK,Yes!
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,GIRL,...all ye who call yourself Gourdenes!
Life of Brian,18,The Holy Gourd of Jerusalem,dialogue,SPIKE,"Stop! Stop! Stop, I say! Stop! Let us-- let us pray.
        Yea, He cometh to us, like the seed to the grain."
Life of Brian,19,Brian Denies Messianic Attributes,direction,NULL,holy music
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,FOLLOWERS,...Master! Master! Look! Master! Master!...
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,BRIAN,"Hey! Is there another way down? Is there another path
        down to the river?"
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,SIMON THE HOLY MAN,Mmmmmmm.
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,BRIAN,Please! Please help me! I've got to get--
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,SIMON,Mm.
Life of Brian,19,Brian Denies Messianic Attributes,direction,NULL,whump
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,BRIAN,Shhhh.
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,SIMON,"Oh, damn, damn, damn!"
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,BRIAN,"Well, I'm sorry. Shhh."
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,SIMON,"Oh, damn, damn, and blast it!"
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,BRIAN,I'm sorry. Shhhh!
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,SIMON,"Don't you 'shhhh' me. Eighteen years of total silence,
        and you 'shhhh' me!"
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,BRIAN,What?
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,SIMON,"I've kept my vow for eighteen years. Not a single,
        recognisable, articulate sound has passed my lips."
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,BRIAN,"Oh, please. Could you be quiet for another five
        minutes?"
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,SIMON,"Oh, it doesn't matter now. I might as well enjoy
        myself. The times in the last eighteen years I've wanted to shout and
        sing and..."
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,BRIAN,Shhhh.
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,SIMON,"...scream my name out! Oh, I'm alive!"
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,BRIAN,Shhh.
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,SIMON,Hava Nagila!
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,BRIAN,Shhh.
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,SIMON,"Hava Nagila! Hava Nagila, ha ha ha! Look out. Oh, I'm
        alive! I'm alive! Hello birds! Hello trees! I'm alive! Get off. I'm
        alive! Hava Nagila. Hava n'ra n'--"
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,FOLLOWERS,Master! The Master! Master! Master!...
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,SHOE FOLLOWER,The Master! Aha. He is here!
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,FRANK,Master!
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,ELSIE,The Gourd has led us...
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,ARTHUR,The shoe has led us to Him!
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,FOLLOWERS,The shoe!...
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,ARTHUR,The shoe has brought us!
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,ARTHUR and HARRY,Speak!
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,FOLLOWERS,Shhhhh!
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,ARTHUR and HARRY,"Speak to us, Master! Speak to us!"
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,BRIAN,Go away!
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,FOLLOWERS,A blessing! A blessing!
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,ARTHUR,"How shall we go away, Master?!"
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,BRIAN,"Oh, just go away! Leave me alone!"
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,SHOE FOLLOWER,Give us a sign!
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,ARTHUR,"He has given us a sign! He has brought us to this
        place!"
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,BRIAN,I didn't bring you here! You just followed me!
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,SHOE FOLLOWER,"Oh, it's still a good sign by any standard."
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,ARTHUR,"Master! Your people have walked many miles to be with
        You! They are weary and have not eaten."
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,BRIAN,It's not my fault they haven't eaten!
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,ARTHUR,There is no food in this high mountain!
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,BRIAN,"Well, what about the juniper bushes over there?"
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,ELSIE,Hhhh!
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,FOLLOWERS,Heh! A miracle! A miracle! Ohh!...
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,SHOE FOLLOWER,He has made the bush fruitful by His words.
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,YOUTH,They have brought forth juniper berries.
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,BRIAN,"Of course they've brought forth juniper berries!
        They're juniper bushes! What do you expect?!"
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,ELSIE,Show us another miracle!
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,ARTHUR,"Do not tempt Him, shallow ones! Is not the miracle of
        the juniper bushes enough?!"
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,SIMON,"I say, those are my juniper bushes."
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,ARTHUR,They are a gift from God!
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,SIMON,"They're all I've bloody got to eat. Uhm. I say, get off
        those bushes! Go on! Clear off, the lot of you. Go on."
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,HARRY,Lord! I am affected by a bald patch.
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,BLIND MAN,I am healed! The Master has healed me!
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,BRIAN,I didn't touch him!
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,BLIND MAN,"I was blind, and now I can see! Aargh!"
Life of Brian,19,Brian Denies Messianic Attributes,direction,NULL,whump
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,FOLLOWERS,A miracle! A miracle! A miracle!
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,SIMON,"Tell them to stop it. I hadn't said a word for eighteen
        years till he came along."
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,ELSIE,Hhh!
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,FOLLOWERS,A miracle! He is the Messiah!
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,SIMON,"Well, he hurt my foot!"
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,FOLLOWERS,"Hurt my foot, Lord! Hurt my foot. Hurt mine..."
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,ARTHUR,Hail Messiah!
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,BRIAN,I'm not the Messiah!
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,ARTHUR,"I say You are, Lord, and I should know. I've followed
        a few."
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,FOLLOWERS,Hail Messiah!
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,BRIAN,"I'm not the Messiah! Will you please listen? I am not
        the Messiah, do you understand?! Honestly!"
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,GIRL,Only the true Messiah denies His divinity.
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,BRIAN,"What?! Well, what sort of chance does that give me? All
        right! I am the Messiah!"
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,FOLLOWERS,He is! He is the Messiah!
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,BRIAN,"Now, fuck off!"
Life of Brian,19,Brian Denies Messianic Attributes,direction,NULL,silence
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,ARTHUR,"How shall we fuck off, O Lord?"
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,BRIAN,"Oh, just go away! Leave me alone."
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,SIMON,"You told these people to eat my juniper berries. You
        break my bloody foot. You break my vow of silence, and then you try and
        clean up on my juniper bushes!"
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,BRIAN,"Oh, lay off!"
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,ARTHUR,"This is the Messiah, the Chosen One!"
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,SIMON,"No, he's not."
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,BRIAN,Aaaagh!
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,ARTHUR,An unbeliever!
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,FOLLOWERS,An unbeliever!
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,ARTHUR,Persecute! Kill the heretic!
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,FOLLOWERS,Kill the heretic! Kill him! Persecute! Kill!...
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,BRIAN,"Leave him alone! Leave him alone! Leave him alone. Put
        him down. Please!"
Life of Brian,19,Brian Denies Messianic Attributes,dialogue,JUDITH,Brian?
